,time,text
36,2020-02-09,"It's not hard to understand with the links provided in thread: CO2 Emissions are concentrated in Northern Hemisphere & Earth's Natural Atmospheric Flow/Cycle + Seasonal Changes (Hot/Cold) causes CO2 from North to enter Southern Hemisphere; thus, affecting Australia's climate etc."
37,2020-02-09,not saying everyone has to go completely vegan but more plant-based diets will become a necessity if we're to combat climate change.
38,2020-02-09,"Know what else can help mitigate #climatechange? Corporations reducing their dependence on #fossilfuels and the elimination of #fracking Individual consumption is so minimal, putting the onus on people to just eat less meat is disingenuous."
39,2020-02-09,This is so beyond discussing by the way - if you truly think there’s anything smug about yet another election without a candidate that will treat us like human beings or give a shit about climate change or abolish ICE etc etc
40,2020-02-09,And climate change most certainly is real you half wit. California and Australia won’t stop lighting on fire and the US defence department is publishing reports about how climate change will flood our coastlines and cause mass famine across the country.
41,2020-02-09,Scientists are using Twitter to measure the impact of climate change 
42,2020-02-09,Hi @GrahamPerrettMP can I count on you to support @zalisteggall’s climate change bill? 
43,2020-02-09,Exactly. No one seems to consider the fact that the magnetic field is flipping thereby reducing the filter for protecting the earth against the solar radiation. Nor relaying the fact that our “climate change” still remains low over all history of the earths life
44,2020-02-09,climate change hysteria is not grass roots its a well thought out religion based on political beliefs basically it socialism but the world's going to end and you have to pay the massive government to save you did I get that right?
45,2020-02-09,@BorisJohnson This is ridiculous. Are you going to give me a grant to replace my boiler because I will not do it. What the hell is happening to you. Climate Change is one giant hoax and politicians frightened just because of a 16 year old girl! Grow a pair. 
46,2020-02-09,"liz & i knocked on this older guy’s door who was torn between Bernie & Biden & after talking to him about raising the minimum wage (he works 2 jobs to get by), climate change (he’s seen it first hand) etc we swayed him to Bernie! he said “it’s because you 2 came to my door” !!!!!"
47,2020-02-09,@SenSanders HEY SANDERS GIVE THIS TO YOUR CLIMATE CHANGE NUTS. 
48,2020-02-09,No one's saying climate change isn't real. The climate has always been changing and always will. The problem is the political movement that has infected the scientific community and turned it into a modern day inquisition.
49,2020-02-09,Sounds like you're the one using semantics. Climate change is caused by people.
50,2020-02-09,"I find it less effective to argue the ""science"" of climate change and better to show the hypocrisy of those who preach it. What argument have you found to be most effective? I'm actually concerned abt pollution. My view: "
51,2020-02-09,"Australia always a land of contrasts HOWEVER - Australia now, a land of EXTREME contrasts EXTREME weather events Things have changed! So many of us have witnessed The scientists always warned us that climate change was all about the extremes "
52,2020-02-09,"Nobody can say that #GlobalWarming is a fake https://rpujolviven.blogspot.com/2016/12/perceptions-towards-climate-climatic.html Earth just had its hottest June on record, on track for warmest July - @washingtonpost https://www.washingtonpost.com/weather/2019/07/15/earth-just-had-its-hottest-june-record-track-warmest-july/?utm_term=.e8b086ce414d#click=https://t.co/l4Z1JLXXLK #climatechange"
53,2020-02-09,When did the environmental movement begin by @trshingler on @publishous: https://medium.com/publishous/when-did-environmental-movement-begin-42871d8074bf?source=friends_link&amp;sk=10306ecec1a27b272e32ac40b5524890 #politics #movement #ClimateChange
54,2020-02-09,Asia Society’s weeks-long event examining climate change 
55,2020-02-09,"Ok, let's try again: - when 200 mph tailwind, boom at 870 mph but - assume accel/decel of 0.63 mph/s for 20 minutes each, up to 750 mph takes 125 miles - finally (3500 - (125 * 2) ) / (5h - 40') results in 750 mph Means if tailwind drops even once to 80 mph there is a sonic boom."
56,2020-02-09,"Weather reflects short-term conditions of the atmosphere while climate is the average daily weather for an extended period of time at a certain location. No-one’s denying Weather Change, you stupid man."
57,2020-02-09,"Who will Liberals represent, their constituents or the fossil fuel lobby? #ClimateChange @LiberalAus"
58,2020-02-09,"Dear climate change, do I need to sleep with the A.C. on?"
59,2020-02-09,The ALA has adopted sustainability as a core value of librarianship. Should we be doing the same? And what does that even mean? #climatechange #sustainability #librarylife
60,2020-02-09,Climate change is mythology and the biggest con of the modern age. There is no climate emergency.
61,2020-02-09,Four graphs that suggest we can't blame climate change on solar activity https://theconversation.com/four-graphs-that-suggest-we-cant-blame-climate-change-on-solar-activity-130154?utm_source=twitter&amp;utm_medium=footertwitterbutton via @ConversationUK
62,2020-02-09,Climate change happens but blaming it on human activities is a lie - follow the money! @GeoffsNZViews @JudithCollinsMP @taggliatelle @nzherald @1NewsNZ @stuff
63,2020-02-09,Crowd building at the Vancouver City Hall to tell ⁦@JustinTrudeau⁩ and ⁦@jjhorgan⁩ @RCMP to Stand down and respect Indigenous rights in the #Wetsuweten territory. #UNDRIP #ClimateChange #HumanRightsViolations
64,2020-02-09,"Packed house for @MikeBloomberg at one of many new NY offices. This one Mineola, NY #volunteer #Brooklyn #Bayside Manhattan #MikeBloomberg2020 #ClimateChange #guncontrol #incomeequality Paid to keep the United States in the Paris Agreement. Hrloed Dems win the House."
65,2020-02-09,"Climate change is real. Google it, kiddo."
66,2020-02-09,No future for fossil fuels period. We need to keep the gas in the ground too. It's fugitive emissions are a worse greenhouse gas than CO2. #ScottyFromMarketting keep lying to us about what needs to be done but he's just a politicians looking after his job and donors. #auspol
67,2020-02-09,Increased wind speed makes also the #ocean currents faster #climatechange 
68,2020-02-09,"System change, culture change, individual change - we need all the changes, just not the climate one. #Actnow #ExtinctionRebellion"
69,2020-02-09,This is going to go well for the Liberal and National Party relationship! #ClimateChange #ClimateEmergency #carbonneutral
70,2020-02-09,Beat climate change... get a goat 
71,2020-02-09,Your perceived view through LNP coloured glasses bot? No matter how you spin it reduction burns or not the fires still spread faster than ever due to Climate Change. And until we do something about co2 levels rising fires will get bigger every year! Thats the science! 
72,2020-02-09,"By the year 2100, 77% of countries will be poorer as a result of lost productivity caused by hotter global temperatures. Climate Change Has Already Increased Global Inequality. It Will Only Get Worse "
73,2020-02-09,"Absolutely, dreadful that taxpayer $being used to prop up Barnaby's + Matt's quest for a new coal fired power station #auspol #qldpol #climatechange "
74,2020-02-09,Hey a True North. That’s bullsh*t. There’s plenty of room to question man-made climate change. Moore is free to use his science knowledge to do a proper scientific study and publish it. He won’t. Why is that? Why does he prefer to attack the science through unscientific means?
75,2020-02-09,fuck climate change
76,2020-02-09,Graças a Deus ou à minha educação kkkk. Um obrigado a mim mesmo por me educar kkkkk
77,2020-02-09,Activist Explains Why Climate Change Movement’s ‘Whiteness’ Drove Her To Stop Saving The Earth https://amp.dailycaller.com/2020/02/07/green-new-deal-whiteness-activism?__twitter_impression=true
78,2020-02-09,"Severe food insecurity rates across 9 southern African countries are 140% higher now than in 2018, primarily because people are being hit by weather extremes driven by #climatechange @WorldVision READ MORE: https://www.wvi.org/newsroom/southern-africa-hunger-emergency-response/more-14-million-people-facing-acute-hunger-one"
79,2020-02-09,"A resident and I had an hour and 20 minute long conversation and talked about everything: politics, climate change, religion, population, the future, etc. He told me “I was able to see the the world God made, unfortunately, you’re gonna see the world humans made” "
80,2020-02-09,"@MaryLouMcDonald Irish society has shifted leftwards over the last decade with the water-charges protests, marriage equality, repeal, the housing movement and the growing activism around climate change. Don't betray those grassroots campaigns and your own voters #dontpropthemup"
81,2020-02-09,"EllyMelly, you are spot on. Why are some people so uptight? Why are some people so ready to call everything #unprecedented when its not. A #Emergency when its not? That #ClimateChange Is unusual when its not. An smart young lady like yourself could make some big coin selling this https://twitter.com/ellymelly/status/1226603638233059328"
82,2020-02-09,"amounts of debt into my kid’s shoulders. And before you @me about climate change, or health care, or education Pete’s plans would cover ALL of that in a way that also would target our debt. Most Progressive =\= most expensive. #TeamPete"
83,2020-02-09,Climate change must be on the agenda. 
84,2020-02-09,"Trump: Climate Change is not real Kentucky: I WOULD BEG TO DIFFER, SIR"
85,2020-02-09,There is no debate over #ClimateChange. Just as there is no debate over a #FlatEarth. Hundreds of thousands of peer-reviewed articles. Match that. Or shut the hell up.
86,2020-02-09,"The number of tweets I've read today during 'Ciara' that have said things like 'climate change is real' No it's not, it's bad weather but because the globalist, #ClimateChangeHoax MSM want climate change at the forefront of people's thinking that's what the snowflakes do "
87,2020-02-09,Climate Change for Dummies https://www.youtube.com/watch?v=JGuWb_81als
88,2020-02-09,"Yes he rocks on all his policies but the one who truly understands what has to be done regarding #ClimateChange Which is a restructuring of the economy , which is what all the experts happen to say as well #Bernie2020 #NotMeUs"
89,2020-02-09,Climate Change disasters near me should cover it all.
90,2020-02-09,Same with @realDonaldTrump supporters. Amazing (and scary) how many @fordnation supporters also support Trump. And think climate change is a myth etc
91,2020-02-09,Climate change: Why are US senators wearing this symbol? https://www.bbc.co.uk/news/science-environment-51418310
92,2020-02-09,cLiMaTe ChAnGe iSnT rEaL 
93,2020-02-09,"The project has been carried out in many parts of the world but due to climate changes, weather differences and a couple of other factors, I'm looking at the Potentials using our locally obtained materials here in Nigeria, particularly South Western Zone"
94,2020-02-09,Your job is covering the climate change hoax? 
95,2020-02-09,"Climate change, genetic meltdown, and hunting. You think people ate mammoths every day?"
96,2020-02-09,"Oh my You! Haven’t you just let this whole planet get FUBAR’d or what, naughty boy? Question: what did Australia do to you that was so bad that they get destroyed 1st? &amp; btw-(climate change AND Trump?? That’s below the belt, God Seriously)"
97,2020-02-09,I'm a @TeamWarren you Bernie Bros act like Democrats want people dying with no healthcare &amp; don't want climate change reform. NEWSFLASH: we do
98,2020-02-09,"A group that works on the issue of climate change in the Pacific, the Pacific Calling Partnership, says a decision by the Australian government to end its contributions to the Green Climate Fund will harm its relations with the region. "
99,2020-02-09,"Thats right, man.. i think like you because climate change"
100,2020-02-09,"(26) Climate change will reshape markets, McKinsey warns | @scoopit"
101,2020-02-09,The most stupid ppl are those who vote #Fiberal against their own best interests. Those *aspirational* voters who hope 1 day to have a share portfolio &amp; franking credits. Who believe #LIEberal PMs bs about tax breaks climate change etc. LNP only interested in helping themselves.
102,2020-02-09,"“I don't think we have time to reinvent capitalism before we work to address climate change” ⠀ ⠀ ""After Ancient Sunlight"" by @ctmccurdy created a petroleum-free, algae-based plastic that is carbon negative. ⠀"
103,2020-02-09,Only permission given for names not my climate change one. I take full credit for electric buses with stations to stop at with renewable energy in the form of windmills and solar. I Deidre Brown am the idea maker for...
104,2020-02-09,How #climatechange caused the #locustplague and #food insecurity
105,2020-02-09,"Hippy leftists are bringing the #CultOfGlobalWarming into the church &amp; then passive aggressively attacking Trump over #BuildTheWall ""Inspire efforts to address climate change... Animate people of faith to build bridges of trust &amp; dismantle walls of fear"" "
106,2020-02-09,I wish journalists and readers could tell the difference between 'policy uncertainty' and 'waiting to see the magnitude of subsidies available' when discussing investment in #renewableenergy. #climatechange
107,2020-02-09,Damn straight.. This climate change stuff is BS. Nothing but a Marxist ruse to destroy capitalism and democracy and you are part of it Jane.. @SkyNewsAust
108,2020-02-09,@BBCNews - #Climatechange: Sir David Attenborough warns of 'catastrophe' https://www.bbc.com/news/science-environment-47976184 Mankind ignores What is betting today https://rpujolviven.blogspot.com/2017/04/no-we-know-what-were-betting.html
109,2020-02-09,Stop blaming population growth for climate change. The real culprit is wealth inequality https://scroll.in/article/952350/stop-blaming-population-growth-for-climate-change-the-real-culprit-is-wealth-inequality via @scroll_in
110,2020-02-09,"Yeah, wearing a tux more than once will definitely stop climate change."
111,2020-02-09,"Yeah, NOT against it but I watch Doctor Who to escape the pressure & stress of everyday life, lose myself in the fantasy - weeks of PSA about Climate Change, Plastics etc are not really my idea of escape. Watched ""The Eleventh Hour"" the other day and forgot how fun Dr Who was."
112,2020-02-09,HAIL NAH! I'm on the East Coast and we have 50°F today. We're all gonna die soon from #ClimateChange #LARain
113,2020-02-09,"Analysis: Major update to ocean-heat record could shrink 1.5C carbon budget https://www.carbonbrief.org/?p=31895 | @carbonbrief Ocean have a great Inertia, the current Warm began decades before https://rpujolviven.blogspot.com/2013/01/really-are-temperatures-stopping-its.html #GlobalWarming #climatechange"
114,2020-02-09,"Unless your on twitter , it’s like climate change on Facebook , every second post some one is pumping it"
115,2020-02-09,You think the Olodos ruling your Nation believe in Climate change?? 95% of Nigerians believe they can pray it away!.
116,2020-02-09,"Who are the real ""deniers""? They seem to be ppl who still rely on RCP 8.5 to promote climate change doomism &amp; frighten children with apocalyptic/extinction propaganda. 2/n"
117,2020-02-09,"He’s more corporate than I’d like, but with a Dem Congress, I think he’d do some good things, particularly on climate change and gun safety. He will guy Trump."
118,2020-02-09,Wow guys salmon are stressing out over climate change even more than we realized. Someone get these fish into rehab 
119,2020-02-09,Climate change is a cash cow for politicians
120,2020-02-09,Wake up Planet STUPID... #wakeUp #GlobalWarming #ClimateChange #ClimateChangeIsReal #ClimateEmergency #ClimateAction #planetStupid #planetSTUPID
121,2020-02-09,"I think what Danny Healy-Rae is trying to say - in his own unique way - is that even if the people of Ireland were to go back to living like it's the Stone Age, it wouldn't make a damn bit of difference to global climate change. Which, of course, is 100% true. #GE2020 #HealyRaes"
122,2020-02-09,"The Philippines is the most susceptible country to hazards brought about by climate change, the Global Peace Index 2019 showed, it is not the pressing issue right now."
123,2020-02-09,No. Our economy would collapse if we cut coal. No guarantees the earth would suddenly cool reversing climate change if we stopped burning fossil fuel
124,2020-02-09,"It's jealousy trust me. I know someone who rants against climate change. Eventually they conceded they knew it was true but just got irritated by the ""self righteousness"". Again jealousy. They'll be jealous of your relationship and your daughter's proactiveness."
125,2020-02-09,"I'll just ask it again: what concretely changes under Biden? Healthcare? Nope, he's sponsored by private insurance. Climate change? Nope, he's sponsored by fracking and big oil. Judges? Nope, won't change the judicial system so we can get rid of T's appoinments. What's. Different"
126,2020-02-09,Stupidity is a tremendous asset when pushing climate change denialism.
127,2020-02-09,"My biggest fear about climate change in Australia isn't the increased frequency of catastrophic weather events, it's that the magpies wont know when spring is and just start swooping all the time."
128,2020-02-09,"What kid or any entity gonna want and take risks so some others can ""platform"" from that shits? That other gated-jurisdictions..climate change..chaos if not correcting mechanism. Fix errors, adjust, and is okay a real identifiable positivism in that system. We proved that."
129,2020-02-09,"Now that climate change is irrefutable, denialists like Andrew Bolt insist it will be good for us | Van Badham "
130,2020-02-09,I should point out that I accept climate change and efforts to fight it. Just that people talk a lot of absolutist nonsense in regards to whatever the weather is that day.
131,2020-02-09,"Buttigieg wanting to not bankrupt America so we can relead in funding science, education, climate change research and veterans medical while paying social security and Medicare is is UNDERRATED."
132,2020-02-09,Not all of the Neanderthals were killed by climate change. My local Whole Foods has a female cashier who can tie her shoes without bending over. She wears high-heeled snow boots to keep her knuckles from dragging in the snow.
133,2020-02-09,#Australia - @zalisteggall to unveil climate change bill and push for a conscience vote for MPs - @amyremeikis @guardianeco http://dlvr.it/RPjN89
134,2020-02-09,"No coments from the climate change ppl? It's Australia, it happens every year."
135,2020-02-09,The middle means • no change in gun laws • millions go uninsured • pharmaceutical co rip-offs • money is still people • climate change continues • continued oppression of minorities and women • military/industrial 'forever wars' Need I go on? 
136,2020-02-09,"Yeah, and they tell us there is Climate Change and hide older weather data from the public. BOM needs a broom put through it."
137,2020-02-09,"Do you consider yourself impacted by climate injustice? Even if the answer is no, we want you here at The Democracy Brunch! Learn how you can fit into this movement and we might even change your mind! REGISTER: http://ow.ly/siNn50ycqc4"
138,2020-02-09,Would love to hear more about why you think climate change is a hoax.
139,2020-02-09,Scientists are using #Twitter to measure the impact of #climatechange #webshoutz #nature #social_media build your website with the latest technology with the website builder http://shop.webshoutz.com/products/website-builder http://invest.webshoutz.com/scientists-are-using-twitter-to-measure-the-impact-of-climate-change/
140,2020-02-09,"""Our detection approach invokes statistical learning and climate model simulations to encapsulate the relationship between spatial patterns of daily temperature and humidity, and key climate change metrics such as annual global mean temperature or Earth’s energy imbalance."" "
141,2020-02-09,"Decadal analysis is out: After adjusting for inflation, the U.S. experienced more than twice the number of billion-dollar disasters during the 2010s than the 2000s decade Note climate change under ""worrisome trends"" https://www.climate.gov/news-features/blogs/beyond-data/2010-2019-landmark-decade-us-billion-dollar-weather-and-climate"
142,2020-02-09,those vegan “throw shade to climate change” sunglasses will come in handy on that yacht cruise that contributes to climate change
143,2020-02-09,"The more I learn the more left I go. When I thought I knew a lot but was in late highschool/just out I knew nothing and so was Libertarian, supported Ron Paul. Def was against the Bailout, didn't trust Obama, NDAA, PATRIOT, NSA, etc. Between LGBT rights and climate change,"
144,2020-02-09,Why switching to a heat pump will help fight climate change http://ow.ly/Ao9s30qgcnH via @FloconHeatPumps
145,2020-02-09,"Those are both total lies. She has a plan to pass medicare for all and often talks about it. She supports the green new deal and has 5 additional climate change plans, like the Blue New Deal. You're either misinformed or lying. "
146,2020-02-09,"While others deny scientific consensus, Erie County is taking action on #ClimateChange. We have already met the standards of the Paris Climate Agreement but we are not stopping there. Watch this video to learn how we are doing more to reduce our carbon footprint and save money: "
147,2020-02-09,almost literally anything you've said/written about climate change or ocean plastics.
148,2020-02-09,"Good breakdown in the attached article, but to sum up, climate change increases the duration of seasonal patterns that support rain development. It is no coincidence that rainfall totals have increased steadily in the Sahara as global temps have increased. "
149,2020-02-09,"The thing is, if you truely believe climate change increases the risk of bush fires then it is even more important to reduce fuel loads!!!!!!"
150,2020-02-09,"I like him a lot. Mike and Amy or Kamala. That would be a ticket that could prosecute #Treasonous Trump and all his lies. Mike is a moderate/ Progressive. Guns, Green Jobs and Climate change. Made his own money and is a Stable Genious compared to #Treasonous trump and the GOP."
151,2020-02-09,"His involvement with holding up aid is fact, but reasons Trump gave are BS. Just like his birther allegations, climate change is a Chinese hoax,etc...etc. "
152,2020-02-09,"It's not just dam building. It's climate change, overpopulation, pollution, globalization. It's a lot of things. And it's a recipe for conflict. For Thousands of Years, Egypt Controlled the Nile. A New Dam Threatens That. "
153,2020-02-09,Goth Chick Pines for Death of Humanity 'The only solution for climate change is letting the human race become extinct' https://www.cambridge-news.co.uk/news/cambridge-news/cambridge-professor-thinks-should-human-17684215?utm_source=twitter.com&amp;utm_medium=social&amp;utm_campaign=sharebar
154,2020-02-09,"My apologies to the many collaborators who are waiting on feedback from me. Between the drought, the fires, the heatwaves and now floods, I'm struggling to keep up on my climate change research"
155,2020-02-09,I am indeed! I see that you’re from the Philippines. Is your country working toward action against climate change?
156,2020-02-09,Try this #birthstrike
157,2020-02-09,"Wow, superhuman powers , you and all the government numpties are going to change the direction of the planets climate, I’m impressed - more so because most journos and the political class cant wipe their own arses without the help of an assistant..go girl!!!"
158,2020-02-09,"As the Earth's circumstances & factors determining climate change constantly, how can the science ever be ""settled""?"
159,2020-02-09,All the black actors/actresses
160,2020-02-09,Stop with climate change which is a huge lie. Pls provide info in Corona virus
161,2020-02-09,A great documentary and one for the narrowminded climate change lovers out there!! COSMIC DISASTER | CIA: Classified https://youtu.be/B_zfMyzXqfI via @YouTube #ClimateChange but it’s not what you think 
162,2020-02-09,Yang leads by example. He is the true leader for regular people...and he’s good for climate change. He bikes to interviews in NYC!
163,2020-02-09,You’ll be long buried ORANGE CLOWN. And kids will be dealing w climate change you failed to help mitigate and what a mortal threat you and your enablers have been to the CONSTITUTION
164,2020-02-09,#ClimateChange 
165,2020-02-09,"Pumped to be working with the @brisbaneshapers on the #ShapeAPAC2020 event! If you want to get involved or support this awesome initiative that brings 125+ people from around APAC to tackle climate change, then reach out! "
166,2020-02-09,They gotta get that bike asap
167,2020-02-09,"'... in this election year demand that our political leaders allocate the needed funds for research and disease prevention. Globalization, climate change, population grow...' "
168,2020-02-09,"Climate change hoax is getting tiring. It goes deeper than that hoax though. The Deep State has hijacked our scientific field over 100 years ago to cover up Nikola Tesla science, destructive to all areas these globalists amass their wealth. They forced Eisntien upon us."
169,2020-02-09,"But no, you cannot at once abandon the Paris Agreement (a global effort to fight climate change), promote fossil fuels, pander to coal, as Trump has -- and hope to be seen as Climate Jesus by hawking the idea of planting trees. Silly boy"
170,2020-02-09,From one extreme to another! #ClimateChange 
171,2020-02-09,1.) Climate Change isn’t real 2.) they can seek asylum in some other country I don’t want them here
172,2020-02-09,I CANNOTHEOFBF BREATHE THEY REALLY SHOWED GLASSES THAT SAID FIGHT CLIMATE CHANGE AS HE WAS TALKING ABOUT TAKING PRIVATE VACATIONS AND TRIPS ON JETS 
173,2020-02-09,Climate change splits the public into six groups. Understanding them is key to future action - ABC News: Climate change splits the public into six groups. Understanding them is key to future action ABC News https://www.abc.net.au/news/2020-01-29/climate-change-global-warming-six-groups-rebecca-huntley/11893384?utm_source=dlvr.it&amp;utm_medium=twitter #climatechange #deniers
174,2020-02-09,"My bad. I’ve never been on a charter flight. (I don’t fly much because, you know, climate change and all.) Seems like a lot of food. Then again, Bernie is a multimillionaire, so he’s probably used to it. @Yamiche seemed to find it unusual."
175,2020-02-09,Brandel now sounds like the climate change skeptic who points to snow in New York in December and says “see the climate isn’t warming” @the_woke_yolk @BrendanPorath @GeoffShac
176,2020-02-09,Wasn’t due to climate change.
177,2020-02-09,"While many here debate whether climate change is real, and whether itl impact is personally, Indonesia is moving its capital city because of it: "
178,2020-02-09,One of my thesis papers focused on the worldwide impacts of climate change and discussed how there would be a major increase in war over water as a resource - particularly in the Nile region 
179,2020-02-09,I just published an essay on Why I Left San Francisco Tech to Live and Work on a Farm (Part 1) https://link.medium.com/HEUWD2cPW3 #regenerativefarming #climatechange
180,2020-02-09,"So 7 hrs after set off, safe in hotel after having to go back out to rescue a colleague. One more colleague to check in then phone down. Can we please tackle climate change already to stop storms getting so fierce!? #StormCiara"
181,2020-02-09,"Hahahaha Climate Change Report, do you believe the report actually causes extreme weather, ???"
182,2020-02-09,"Kneecapping climate change, together."
183,2020-02-09,"#environment #ClimateChange disastrous #locustplague hit #Africa, Arabian peninsula #Iran #India &amp; #Pakistan"
184,2020-02-09,"No change. He's always believed this: quotes himself to prove it. He's still right. He wants Libs to claim there R benefits to global warming, not take climate action which he tries to discount. This is a tired old CCscience denialist argument resurfacing again @MichaelEMann ?"
185,2020-02-09,Cyclical climate change. Nothing more nothing less..!!
186,2020-02-09,"I don't like the question. ""Climate change action"" is essential to prevent increased global warming. There are more immediately effective ways to reduce bush fires."
187,2020-02-09,"Antarctica Sets Record High Temperature: 64.9 Degrees. Ah just more evidence for climate change. But Trump, the Chosen One who denies and doesn’t need science, and his cult-base will continue to deny while Earth continues to burn! "
188,2020-02-09,The EU's ambassador to the Pacific says he wants to deepen ties on issues like supporting multilateralism and the fight against climate change 
189,2020-02-09,Climate change is a hoax #celebrateCO2
190,2020-02-09,Such maturity! And you learned nothing. 90% of the worlds scientists that study climate change agree that it is happening and that humans have had a hand in it. How did they come to those conclusions. Are you a scientist?
191,2020-02-09,Hows the stuff from James cook university doing about coral reefs and climate change. Oh yeah all fraud. 100% not repeatable experiments like the majority of peer reviewed experiments.
192,2020-02-09,Sanders lays out his 'radical dream' to solve climate change 
